Date,SPX,VIX
2010-01-01,,
2010-01-04,1132.99,20.04
2010-01-05,1136.52,19.35
2010-01-06,1137.14,19.16
2010-01-07,1141.69,19.06
2010-01-08,1144.98,18.13
2010-01-11,1146.98,17.55
2010-01-12,1136.22,18.25
2010-01-13,1145.68,17.85
2010-01-14,1148.46,17.63
2010-01-15,1136.03,17.91
2010-01-18,,
2010-01-19,1150.23,17.58
2010-01-20,1138.04,18.68
2010-01-21,1116.48,22.27
2010-01-22,1091.76,27.31
2010-01-25,1096.78,25.41
2010-01-26,1092.17,24.55
2010-01-27,1097.5,23.14
2010-01-28,1084.53,23.73
2010-01-29,1073.87,24.62
2010-02-01,1089.19,22.59
2010-02-02,1103.32,21.48
2010-02-03,1097.28,21.6
2010-02-04,1063.11,26.08
2010-02-05,1066.19,26.11
2010-02-08,1056.74,26.51
2010-02-09,1070.52,26.0
2010-02-10,1068.13,25.4
2010-02-11,1078.47,23.96
2010-02-12,1075.51,22.73
2010-02-15,,
2010-02-16,1094.87,22.25
2010-02-17,1099.51,21.72
2010-02-18,1106.75,20.63
2010-02-19,1109.17,20.02
2010-02-22,1108.01,19.94
2010-02-23,1094.6,21.37
2010-02-24,1105.24,20.27
2010-02-25,1102.94,20.1
2010-02-26,1104.49,19.5
2010-03-01,1115.71,19.26
2010-03-02,1118.31,19.06
2010-03-03,1118.79,18.83
2010-03-04,1122.97,18.72
2010-03-05,1138.7,17.42
2010-03-08,1138.5,17.79
2010-03-09,1140.45,17.92
2010-03-10,1145.61,18.57
2010-03-11,1150.24,18.06
2010-03-12,1149.99,17.58
2010-03-15,1150.51,18.0
2010-03-16,1159.46,17.69
2010-03-17,1166.21,16.91
2010-03-18,1165.83,16.62
2010-03-19,1159.9,16.97
2010-03-22,1165.81,16.87
2010-03-23,1174.17,16.35
2010-03-24,1167.72,17.55
2010-03-25,1165.73,18.4
2010-03-26,1166.59,17.77
2010-03-29,1173.22,17.59
2010-03-30,1173.27,17.13
