Date,cl,cl vol
2010-05-14,71.610001,532331
2010-05-16,null,null
2010-05-17,70.080002,373981
2010-05-18,69.410004,355833
2010-05-19,69.870003,206381
2010-05-20,68.010002,129166
2010-05-21,70.040001,553741
2010-05-23,null,null
2010-05-24,70.209999,449428
2010-05-25,68.75,279820
2010-05-26,71.510002,395399
2010-05-27,74.550003,405519
2010-05-28,73.970001,401812
2010-05-30,null,null
2010-06-01,72.580002,420674
2010-06-02,72.860001,438588
2010-06-03,74.610001,391034
2010-06-04,71.510002,439431
2010-06-06,null,null
2010-06-07,71.440002,448494
2010-06-08,71.989998,417308
2010-06-09,74.379997,421966
2010-06-10,75.480003,436981
2010-06-11,73.779999,430042
2010-06-13,null,null
2010-06-14,75.120003,421739
2010-06-15,76.940002,321671
2010-06-16,77.669998,308294
2010-06-17,76.790001,323357
2010-06-18,77.18,303284
2010-06-20,null,null
2010-06-21,77.82,157434
2010-06-22,77.209999,124289
2010-06-23,76.349998,285495
2010-06-24,76.510002,365038
2010-06-25,78.860001,260401
2010-06-27,null,null
2010-06-28,78.25,316456
2010-06-29,75.940002,223305
2010-06-30,75.629997,323267
2010-07-01,72.949997,357752
2010-07-02,72.139999,405081
2010-07-04,null,null
2010-07-06,71.980003,256171
2010-07-07,74.07,325727
2010-07-08,75.440002,288660
2010-07-09,76.089996,325813
2010-07-11,null,null
2010-07-12,74.949997,269887
2010-07-13,77.150002,309169
2010-07-14,77.040001,361792
2010-07-15,76.620003,364471
2010-07-16,76.010002,366023
2010-07-18,null,null
2010-07-19,76.540001,225250
2010-07-20,77.440002,169548
2010-07-21,76.559998,285817
2010-07-22,79.300003,322410
2010-07-23,78.980003,358815
2010-07-25,null,null
2010-07-26,78.980003,259741
2010-07-27,77.5,227656
2010-07-28,76.989998,377844
2010-07-29,78.360001,314173
2010-07-30,78.949997,350581
2010-08-01,null,null
2010-08-02,81.339996,294425
2010-08-03,82.550003,306098
2010-08-04,82.470001,290979
2010-08-05,82.010002,293321
2010-08-06,80.699997,234811
2010-08-08,null,null
2010-08-09,81.480003,397532
2010-08-10,80.25,267083
2010-08-11,78.019997,385854
2010-08-12,75.739998,416889
2010-08-13,75.389999,430788
2010-08-15,null,null
2010-08-16,75.239998,286126
2010-08-17,75.769997,237455
2010-08-18,75.419998,347432
2010-08-19,74.43,247104
2010-08-20,73.459999,123224
2010-08-22,null,null
2010-08-23,73.099998,246977
2010-08-24,71.629997,252439
2010-08-25,72.519997,340994
2010-08-26,73.360001,343405
2010-08-27,75.169998,362828
2010-08-29,null,null
2010-08-30,74.699997,477903
2010-08-31,71.919998,260666
2010-09-01,73.910004,469412
2010-09-02,75.019997,396607
2010-09-03,74.599998,340168
2010-09-05,null,null
2010-09-07,74.089996,379300
2010-09-08,74.669998,406641
2010-09-09,74.25,359759
