Date,gold,gold vol
2010-05-14,1227.400024,37
2010-05-16,null,null
2010-05-17,1227.699951,99
2010-05-18,1214.300049,49
2010-05-19,1192.599976,73
2010-05-20,1187.800049,75
2010-05-21,1175.699951,297
2010-05-23,null,null
2010-05-24,1193.800049,177
2010-05-25,1197.800049,14
2010-05-26,1213.300049,9
2010-05-27,1211.900024,237497
2010-05-28,1212.199951,109434
2010-05-30,null,null
2010-06-01,1224.800049,12895
2010-06-02,1220.599976,4547
2010-06-03,1208.300049,2799
2010-06-04,1216.199951,1552
2010-06-06,null,null
2010-06-07,1239.300049,1070
2010-06-08,1244,859
2010-06-09,1228.5,763
2010-06-10,1220.800049,446
2010-06-11,1228.900024,488
2010-06-13,null,null
2010-06-14,1223.300049,481
2010-06-15,1233.199951,989
2010-06-16,1229.300049,251
2010-06-17,1247.5,318
2010-06-18,1257.199951,266
2010-06-20,null,null
2010-06-21,1239.699951,130
2010-06-22,1239.900024,219
2010-06-23,1234.099976,172
2010-06-24,1245.5,100
2010-06-25,1255.800049,253
2010-06-27,null,null
2010-06-28,1238.199951,159
2010-06-29,1242,351
2010-06-30,1245.5,417
2010-07-01,1206.300049,73
2010-07-02,1207.400024,50
2010-07-04,null,null
2010-07-06,1194.800049,169
2010-07-07,1198.599976,52
2010-07-08,1195.800049,18
2010-07-09,1209.599976,93
2010-07-11,null,null
2010-07-12,1198.5,22
2010-07-13,1213.300049,45
2010-07-14,1206.800049,53
2010-07-15,1208.099976,54
2010-07-16,1188,32
2010-07-18,null,null
2010-07-19,1181.699951,46
2010-07-20,1191.5,4
2010-07-21,1191.599976,8
2010-07-22,1195.5,24
2010-07-23,1187.699951,79
2010-07-25,null,null
2010-07-26,1183,32
2010-07-27,1158,37
2010-07-28,1160.400024,29
2010-07-29,1168.400024,206828
2010-07-30,1181.699951,54384
2010-08-01,null,null
2010-08-02,1183.400024,5466
2010-08-03,1185.199951,2504
2010-08-04,1193.699951,598
2010-08-05,1197.199951,1068
2010-08-06,1203.400024,214
2010-08-08,null,null
2010-08-09,1200.699951,347
2010-08-10,1196.199951,658
2010-08-11,1197.5,713
2010-08-12,1214.800049,351
2010-08-13,1214.900024,289
2010-08-15,null,null
2010-08-16,1224.5,138
2010-08-17,1226.599976,252
2010-08-18,1229.699951,84
2010-08-19,1233.800049,169
2010-08-20,1227.199951,46
2010-08-22,null,null
2010-08-23,1226.900024,236
2010-08-24,1231.800049,56
2010-08-25,1239.5,300
2010-08-26,1235.400024,298
2010-08-27,1236,104
2010-08-29,null,null
2010-08-30,1237.099976,573
2010-08-31,1248.300049,128
2010-09-01,1246.300049,124
2010-09-02,1251.5,41
2010-09-03,1249.199951,100
2010-09-05,null,null
2010-09-07,1257.300049,3
2010-09-08,1255.599976,7
2010-09-09,1248.900024,27
2010-09-10,1244.5,9
2010-09-12,null,null
2010-09-13,1245.099976,20
2010-09-14,1269.699951,18
2010-09-15,1266.699951,87
2010-09-16,1271.900024,34
2010-09-17,1275.599976,37
2010-09-19,null,null
2010-09-20,1279,54
2010-09-21,1272.400024,27
2010-09-22,1290.199951,56
2010-09-23,1294.300049,17
2010-09-24,1296,45
2010-09-26,null,null
2010-09-27,1296.699951,37
2010-09-28,1306.599976,67
2010-09-29,1308.5,25190
2010-09-30,1307.800049,6745
2010-10-01,1316.099976,579
2010-10-03,null,null
2010-10-04,1315.400024,153
2010-10-05,1338.900024,95
2010-10-06,1346.400024,197
2010-10-07,1333.900024,215
2010-10-08,1344.199951,261
2010-10-10,null,null
2010-10-11,1353.300049,80
2010-10-12,1345.699951,79
