Date,sse,sse vol
2010-05-14,2696.628906,73400
2010-05-17,2559.930908,82600
2010-05-18,2594.782959,82800
2010-05-19,2587.806885,71400
2010-05-20,2555.939941,66400
2010-05-21,2583.521973,83800
2010-05-24,2673.423096,112400
2010-05-25,2622.629883,93200
2010-05-26,2625.792969,68800
2010-05-27,2655.917969,87800
2010-05-28,2655.76709,87000
2010-05-31,2592.145996,78800
2010-06-01,2568.282959,74600
2010-06-02,2571.423096,64800
2010-06-03,2552.656006,69600
2010-06-04,2553.593018,56600
2010-06-07,2511.729004,65600
2010-06-08,2513.947021,63000
2010-06-09,2583.870117,96000
2010-06-10,2562.580078,74600
2010-06-11,2569.940918,66600
2010-06-15,2569.939941,60800
2010-06-17,2560.245117,55000
2010-06-18,2513.221924,67200
2010-06-21,2586.208984,78600
2010-06-22,2588.697998,63600
2010-06-23,2569.87207,58800
2010-06-24,2566.745117,48800
2010-06-25,2552.816895,50000
2010-06-28,2535.278076,43200
2010-06-29,2427.052002,73800
2010-06-30,2398.370117,55200
2010-07-01,2373.791992,50000
2010-07-02,2382.900879,68400
2010-07-05,2363.947998,48000
2010-07-06,2409.424072,61400
2010-07-07,2421.116943,56200
2010-07-08,2415.149902,54400
2010-07-09,2470.923096,85800
2010-07-12,2490.718018,83000
2010-07-13,2450.284912,66400
2010-07-14,2470.439941,73000
2010-07-15,2424.303955,105600
2010-07-16,2424.270996,70800
2010-07-19,2475.420898,88800
2010-07-20,2528.729004,118600
2010-07-21,2535.394043,114200
2010-07-22,2562.406006,106000
2010-07-23,2572.028076,114400
2010-07-26,2588.683105,93400
2010-07-27,2575.36792,86600
2010-07-28,2633.663086,129000
2010-07-29,2648.115967,139200
2010-07-30,2637.50293,94800
2010-08-02,2672.516113,113000
2010-08-03,2627.001953,128000
2010-08-04,2638.521973,112200
2010-08-05,2620.75708,113600
2010-08-06,2658.39209,121000
2010-08-09,2672.531982,120000
2010-08-10,2595.272949,127000
2010-08-11,2607.49707,87000
2010-08-12,2575.475098,92600
2010-08-13,2606.699951,88800
2010-08-16,2661.708008,125800
2010-08-17,2671.893066,122600
2010-08-18,2666.301025,136200
2010-08-19,2687.979004,128400
2010-08-20,2642.306885,116200
2010-08-23,2639.365967,88200
2010-08-24,2650.306885,107200
2010-08-25,2596.580078,109600
2010-08-26,2603.480957,80400
2010-08-27,2610.741943,70400
2010-08-30,2652.664063,110400
2010-08-31,2638.798096,110800
2010-09-01,2622.88208,127200
2010-09-02,2655.775879,124000
2010-09-03,2655.394043,129400
2010-09-06,2696.25,144200
2010-09-07,2698.363037,112200
2010-09-08,2695.291016,113600
2010-09-09,2656.352051,133000
2010-09-10,2663.208984,113000
2010-09-13,2688.320068,118000
2010-09-14,2688.521973,120800
2010-09-15,2652.50293,122000
2010-09-16,2602.465088,119000
2010-09-17,2598.688965,83200
2010-09-20,2588.712891,79400
2010-09-21,2591.550049,58200
2010-09-27,2627.967041,76800
2010-09-28,2611.354004,93200
2010-09-29,2610.677979,88600
2010-09-30,2655.657959,89600
2010-10-08,2738.743896,135800
2010-10-11,2806.941895,207600
2010-10-12,2841.406982,167400
2010-10-13,2861.361084,185200
2010-10-14,2879.635986,229400
2010-10-15,2971.159912,236600
2010-10-18,2955.227051,263400
2010-10-19,3001.853027,170600
2010-10-20,3003.950928,207800
2010-10-21,2983.531982,161400
2010-10-22,2975.042969,147000
2010-10-25,3051.417969,192200
2010-10-26,3041.542969,198800
2010-10-27,2997.048096,176200
2010-10-28,2992.579102,143600
2010-10-29,2978.834961,147200
2010-11-01,3054.020996,186200
2010-11-02,3045.434082,225000
2010-11-03,3030.988037,189800
2010-11-04,3086.938965,176800
2010-11-05,3129.49707,212000
2010-11-08,3159.511963,205400
2010-11-09,3135,192400
2010-11-10,3115.355957,185000
2010-11-11,3147.743896,210200
2010-11-12,2985.435059,233000
2010-11-15,3014.413086,153200
2010-11-16,2894.538086,171000
2010-11-17,2838.856934,123800
2010-11-18,2865.451904,102200
2010-11-19,2888.565918,123800
2010-11-22,2884.371094,127200
2010-11-23,2828.281982,116400
2010-11-24,2859.936035,116200
2010-11-25,2898.260986,131600
2010-11-26,2871.697998,110800
2010-11-29,2866.355957,102400
2010-11-30,2820.180908,139400
2010-12-01,2823.448975,81200
2010-12-02,2843.606934,104200
2010-12-03,2842.429932,83600
2010-12-06,2857.177002,89800
2010-12-07,2875.861084,86800
2010-12-08,2848.545898,86800
2010-12-09,2810.948975,94600
2010-12-10,2841.040039,80400
2010-12-13,2922.954102,128800
2010-12-14,2927.076904,121000
2010-12-15,2911.414063,109400
2010-12-16,2898.137939,87600
2010-12-17,2893.73999,73600
2010-12-20,2852.919922,0
2010-12-21,2904.11499,106800
2010-12-22,2877.899902,98400
2010-12-23,2855.219971,89000
2010-12-24,2835.156982,81200
2010-12-27,2781.4021,97800
2010-12-28,2732.98999,84400
2010-12-29,2751.5271,64000
2010-12-30,2759.574951,73200
2010-12-31,2808.076904,83400
2011-01-04,2852.647949,110000
2011-01-05,2839.220947,104400
2011-01-06,2824.197021,84800
2011-01-07,2838.801025,113200
2011-01-10,2791.809082,90800
2011-01-11,2804.047119,80600
2011-01-12,2821.304932,79200
2011-01-13,2827.711914,74800
2011-01-14,2791.343994,76800
2011-01-17,2706.659912,92600
2011-01-18,2708.979004,60400
2011-01-19,2758.096924,78400
2011-01-20,2677.6521,86000
2011-01-21,2715.293945,95600
2011-01-24,2695.718994,88000
2011-01-25,2677.431885,69400
2011-01-26,2708.813965,60800
2011-01-27,2749.149902,105600
2011-01-28,2752.75,85400
2011-01-31,2790.694092,91600
2011-02-01,2798.959961,73400
2011-02-09,2774.064941,87200
2011-02-10,2818.163086,98000
2011-02-11,2827.327881,107800
2011-02-14,2899.134033,154200
2011-02-15,2899.237061,152400
2011-02-16,2923.895996,127800
2011-02-17,2926.964111,130400
2011-02-18,2899.791992,113800
2011-02-21,2932.246094,118800
2011-02-22,2855.516113,153000
2011-02-23,2862.63501,111000
2011-02-24,2878.603027,109800
2011-02-25,2878.564941,100000
2011-02-28,2905.052979,118800
2011-03-01,2918.919922,136600
2011-03-02,2913.808105,133400
2011-03-03,2902.978027,150400
2011-03-04,2942.305908,118200
2011-03-07,2996.210938,160200
2011-03-08,2999.941895,126600
2011-03-09,3002.154053,124800
2011-03-10,2957.143066,123800
2011-03-11,2933.795898,116000
2011-03-14,2937.626953,117000
2011-03-15,2896.256104,155000
2011-03-16,2930.803955,130800
2011-03-17,2897.298096,137800
2011-03-18,2906.88501,100600
2011-03-21,2909.136963,96800
2011-03-22,2919.14209,95200
2011-03-23,2948.477051,112600
2011-03-24,2946.706055,109000
